location,price,size,rooms,price/m2,bathrooms,type,region
Albesa,105500,251,4,420.32,2,Casa,lleida
Albesa,113100,252,4,448.81,2,Casa,lleida
Albesa,105500,251,4,420.32,2,Piso,lleida
Albesa,80932,262,5,308.9,2,Piso,lleida
Albesa,129700,252,4,514.68,2,Piso,lleida
Albesa,120700,258,4,467.83,2,Piso,lleida
Albesa,80932,262,5,308.9,2,Casa,lleida
Albesa,139000,122,4,1139.34,3,Piso,lleida
Albesa,111800,168,4,665.48,2,Piso,lleida
Albesa,113100,252,4,448.81,2,Piso,lleida
Albesa,110200,167,4,659.88,2,Piso,lleida
Albinyana,155789,120,3,1298.24,1,Casa,tarragona
Albinyana,139900,110,3,1271.82,2,Piso,baix_penedes
Albinyana,77200,154,4,501.3,1,Casa,tarragona
Albinyana,179900,180,4,999.44,1,Piso,baix_penedes
Albinyana,165000,188,4,877.66,3,Piso,baix_penedes
Albinyana,147000,119,3,1235.29,1,Piso,tarragona
Albinyana,240000,200,3,1200.0,3,Piso,baix_penedes
Albinyana,147368,280,3,526.31,1,Casa,tarragona
Albinyana,97500,136,4,716.91,2,Piso,tarragona
Albinyana,134000,140,6,957.14,2,Casa,tarragona
Albinyana,178900,145,5,1233.79,2,Casa,tarragona
Albinyana,69000,268,4,257.46,2,Casa,tarragona
Albinyana,179900,180,4,999.44,1,Casa,tarragona
Albinyana,147000,119,3,1235.29,2,Piso,baix_penedes
Albinyana,69000,268,4,257.46,2,Piso,baix_penedes
Albinyana,152000,104,3,1461.54,2,Casa,tarragona
Albinyana,157000,141,4,1113.48,2,Piso,baix_penedes
Albinyana,95000,115,3,826.09,2,Piso,tarragona
Albinyana,153900,104,2,1479.81,1,Casa,tarragona
Albinyana,66000,81,2,814.81,1,Piso,baix_penedes
Albinyana,69400,268,4,258.96,2,Piso,tarragona
Albinyana,84864,170,2,499.2,2,Piso,baix_penedes
Albinyana,164400,100,3,1644.0,2,Piso,baix_penedes
Albinyana,61000,90,2,677.78,2,Casa,tarragona
Albinyana,241500,270,7,894.44,3,Casa,tarragona
Albinyana,152000,104,3,1461.54,2,Piso,baix_penedes
Albinyana,126000,125,3,1008.0,1,Piso,tarragona
Albinyana,95000,70,3,1357.14,1,Casa,tarragona
Albinyana,168000,141,4,1191.49,2,Piso,tarragona
Albinyana,95000,70,3,1357.14,1,Piso,baix_penedes
Albinyana,89500,70,3,1278.57,1,Piso,tarragona
Albinyana,94737,80,3,1184.21,2,Piso,tarragona
Albinyana,180000,332,7,542.17,4,Casa,tarragona
Albinyana,147000,130,3,1130.77,1,Casa,tarragona
Albinyana,241000,175,4,1377.14,3,Piso,baix_penedes
Albinyana,178900,145,5,1233.79,2,Piso,baix_penedes
Albinyana,164400,100,3,1644.0,2,Casa,tarragona
Albinyana,95000,65,3,1461.54,2,Piso,baix_penedes
Albinyana,74200,50,1,1484.0,1,Piso,baix_penedes
Albinyana,155789,120,3,1298.24,1,Piso,tarragona
Albinyana,115000,110,2,1045.45,1,Casa,tarragona
Albinyana,159000,83,3,1915.66,1,Piso,baix_penedes
Albinyana,241500,270,7,894.44,3,Piso,baix_penedes
Albinyana,139900,110,3,1271.82,2,Casa,tarragona
Albinyana,61000,90,2,677.78,2,Piso,baix_penedes
Albinyana,77200,154,4,501.3,1,Piso,tarragona
Albinyana,147000,130,3,1130.77,2,Casa,tarragona
Albinyana,294737,450,7,654.97,3,Casa,tarragona
Albinyana,147000,130,3,1130.77,2,Piso,baix_penedes
Albinyana,159000,83,3,1915.66,1,Casa,tarragona
Albinyana,134000,140,6,957.14,2,Piso,baix_penedes
Albinyana,166900,182,5,917.03,2,Casa,tarragona
Albinyana,180000,332,7,542.17,4,Piso,baix_penedes
Albinyana,139900,136,3,1028.68,2,Piso,baix_penedes
Albinyana,157500,141,4,1117.02,2,Piso,baix_penedes
Albinyana,115000,110,2,1045.45,1,Piso,baix_penedes
Albinyana,94737,80,3,1184.21,2,Casa,tarragona
Albinyana,153900,104,2,1479.81,1,Piso,baix_penedes
Albinyana,147000,130,3,1130.77,1,Piso,baix_penedes
Albinyana,165000,116,5,1422.41,2,Casa,tarragona
Albinyana,69400,268,4,258.96,2,Casa,tarragona
Albinyana,89500,70,3,1278.57,1,Casa,tarragona
Albinyana,146000,140,5,1042.86,2,Casa,tarragona
Albinyana,294737,450,7,654.97,3,Piso,tarragona
Albinyana,147368,280,3,526.31,1,Piso,tarragona
Albinyana,157900,99,4,1594.95,2,Casa,tarragona
Albinyana,165000,116,5,1422.41,2,Piso,baix_penedes
Albinyana,200000,286,4,699.3,2,Piso,baix_penedes
Albinyana,97500,136,4,716.91,2,Casa,tarragona
Albinyana,95000,55,3,1727.27,2,Piso,tarragona
Albinyana,166900,182,5,917.03,2,Piso,baix_penedes
Albinyana,154000,125,4,1232.0,2,Casa,tarragona
Albinyana,147000,119,3,1235.29,2,Casa,tarragona
Albinyana,157000,141,4,1113.48,2,Casa,tarragona
Albinyana,240000,200,3,1200.0,3,Casa,tarragona
Albinyana,147000,119,3,1235.29,1,Casa,tarragona
Albinyana,157500,141,4,1117.02,2,Casa,tarragona
Albinyana,126000,125,3,1008.0,1,Casa,tarragona
Albinyana,81000,64,3,1265.62,1,Casa,tarragona
Albinyana,146000,140,5,1042.86,2,Piso,tarragona
Albinyana,199000,281,5,708.19,5,Piso,baix_penedes
Albinyana,165000,188,4,877.66,3,Casa,tarragona
Albinyana,168000,141,4,1191.49,2,Casa,tarragona
Albinyana,95000,115,3,826.09,2,Casa,tarragona
Albinyana,95000,65,3,1461.54,2,Casa,tarragona
Albinyana,81000,64,3,1265.62,1,Piso,tarragona
Albinyana,139900,136,3,1028.68,2,Casa,tarragona
Albinyana,157900,99,4,1594.95,2,Piso,baix_penedes
Albinyana,154000,125,4,1232.0,2,Piso,baix_penedes
Albinyana,95000,55,3,1727.27,2,Casa,tarragona
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),93100,124,3,750.81,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),72400,82,2,882.93,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),94388,53,2,1780.91,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),68400,93,2,735.48,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),60800,82,2,741.46,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),101000,138,3,731.88,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),58800,69,1,852.17,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),116000,131,3,885.5,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),64800,53,2,1222.64,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),20600,62,3,332.26,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),99200,104,3,953.85,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),92000,107,3,859.81,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),77200,54,2,1429.63,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),48500,108,3,449.07,1,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),82400,82,2,1004.88,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),90300,103,3,876.7,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),71500,81,2,882.72,2,Piso,el_baix_maestrat
Alcalà de Xivert (Alcalà de Xivert-Alcossebre),84000,98,2,857.14,2,Piso,el_baix_maestrat
